filename,cik,year,registrant_name_truth,original_Inc_state_truth,original_Inc_year_truth,employee_count_truth,headquarters_city_truth,headquarters_state_truth,holder_record_amount_truth
65660_1993.txt,65660,1993,Michigan National Corporation,Michigan,NULL,5900,Farmington Hills,Michigan,8800
108721_1993.txt,108721,1993,"Wynn's International, Inc",NULL,NULL,1978,Orange,California,NULL
37748_1993.txt,37748,1993,Fluor Corporation,Delaware,1978,NULL,Irvine,California,NULL
701345_1993.txt,701345,1993,"USAir Group, Inc",Delaware,NULL,48500,Arlington,Virginia,35763
876858_1993.txt,876858,1993,Sears Credit Account Trust 1991 C,NULL,NULL,NULL,NULL,NULL,NULL
310431_1993.txt,310431,1993,"CBI Industries, Inc",Delaware,1979,NULL,Oak Brook,Illinois,7700
764037_1993.txt,764037,1993,Encore Computer Corporation,Delaware,1983,952,Fort Lauderdale,Florida,2703
201461_1993.txt,201461,1993,City National Corporation,Delaware,1968,NULL,Beverly Hills,California,NULL
26780_1993.txt,26780,1993,Dana Corporation,NULL,1905,36000,NULL,NULL,25600
741612_1993.txt,741612,1993,"TNP Enterprises, Inc",Texas,1983,1051,NULL,NULL,NULL
104669_1993.txt,104669,1993,Warner-Lambert Company,Delaware,1920,35000,Morris Plains,New Jersey,NULL
797463_1993.txt,797463,1993,"General Electric Capital Services, Inc",Delaware,1984,27000,Stamford,Connecticut,NULL
51720_1993.txt,51720,1993,Interstate Power Company,Delaware,1925,979,NULL,NULL,NULL
100826_1993.txt,100826,1993,Union Electric Company,Missouri,1922,6417,NULL,NULL,NULL
40533_1993.txt,40533,1993,General Dynamics Corporation,Delaware,1952,30500,NULL,NULL,24496
101830_1993.txt,101830,1993,Sprint Corporation,Kansas,1938,50500,NULL,NULL,105000
33619_1993.txt,33619,1993,Esterline Technologies Corporation,NULL,1967,2800,NULL,NULL,NULL
215419_1993.txt,215419,1993,"Checkpoint Systems, Inc",Pennsylvania,1969,1366,Thorofare,New Jersey,1771
40454_1993.txt,40454,1993,"BOATMEN'S BANCSHARES, INC",Missouri,1946,NULL,St. Louis,Missouri,NULL
77227_1993.txt,77227,1993,Pennsylvania Electric Company,Pennsylvania,1919,3532,NULL,NULL,NULL
65358_1993.txt,65358,1993,United Capital Corp,Delaware,1980,890,NULL,NULL,760
54502_1993.txt,54502,1993,"K N Energy, Inc",Kansas,1927,1735,Lakewood,Colorado,NULL
37785_1993.txt,37785,1993,FMC Corporation,Delaware,NULL,NULL,Chicago,Illinois,13180
893486_1993.txt,893486,1993,Santa Fe Energy Trust,Texas,1992,0,Houston,Texas,480
91576_1993.txt,91576,1993,KeyCorp,Ohio,1958,12038,Cleveland,Ohio,36331
790603_1993.txt,790603,1993,"JMB Income Properties, Ltd. - XIII",Illinois,1986,NULL,NULL,NULL,9335
94601_1993.txt,94601,1993,"Stone & Webster, Incorporated",Delaware,1929,6000,NULL,NULL,6800
92088_1993.txt,92088,1993,"BellSouth Telecommunications, Inc",NULL,NULL,81400,Atlanta,Georgia,NULL
832427_1993.txt,832427,1993,National Health Laboratories Incorporated,Delaware,1971,7700,La Jolla,California,625
83047_1993.txt,83047,1993,Reliance Financial Services Corporation,NULL,NULL,NULL,New York City,NULL,1
893928_1993.txt,893928,1993,Entergy Corporation,Florida,1949,16679,NULL,Louisiana,63779
789292_1993.txt,789292,1993,NULL,NULL,NULL,0,NULL,NULL,NULL
95301_1993.txt,95301,1993,Sequa Corporation,NULL,1929,10250,NULL,NULL,NULL
7536_1993.txt,7536,1993,"Arrow Electronics, Inc",NULL,NULL,4600,Melville,New York,4000
854884_1993.txt,854884,1993,Chicago and North Western Holdings Corp,NULL,NULL,6158,NULL,NULL,NULL
10456_1993.txt,10456,1993,Baxter International Inc,Delaware,1931,60400,NULL,NULL,NULL
53347_1993.txt,53347,1993,Jefferson-Pilot Corporation,North Carolina,1968,NULL,Greensboro,North Carolina,9819
882240_1993.txt,882240,1993,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74208_1993.txt,74208,1993,"United Dominion Realty Trust, Inc",Virginia,1972,556,Richmond,Virginia,4505
352363_1993.txt,352363,1993,NULL,NULL,NULL,NULL,NULL,NULL,NULL
815917_1993.txt,815917,1993,"The Jones Financial Companies, a Limited Partnership",NULL,NULL,8086,St Louis,Missouri,NULL
14957_1993.txt,14957,1993,Brush Wellman Inc,NULL,NULL,1803,Cleveland,Ohio,2681
9892_1993.txt,9892,1993,"C. R. Bard, Inc",NULL,1923,8450,Murray Hill,New Jersey,8280
860713_1993.txt,860713,1993,Snyder Oil Corporation,NULL,NULL,327,Fort Worth,Texas,3500
66904_1993.txt,66904,1993,Southern,Delaware,1945,NULL,NULL,NULL,237105
740763_1993.txt,740763,1993,"Gilbert Associates, Inc",NULL,1984,NULL,Reading,Pennsylvania,3500
315189_1993.txt,315189,1993,Deere & Company,Delaware,1958,33070,NULL,NULL,23971
93675_1993.txt,93675,1993,Starrett Housing Corporation,New York,1922,1100,NULL,NULL,792
847322_1993.txt,847322,1993,CRIIMI MAE Inc.,NULL,NULL,0,NULL,NULL,NULL
836400_1993.txt,836400,1993,"Dr Pepper/Seven-Up Companies, Inc",Delaware,1988,952,Dallas,NULL,NULL
771950_1993.txt,771950,1993,"Westwood One, Inc",NULL,NULL,269,NULL,NULL,475
20164_1993.txt,20164,1993,Chrysler Financial Corporation,Michigan,1967,3100,Southfield,Michigan,NULL
15393_1993.txt,15393,1993,"The Bureau of National Affairs, Inc",NULL,1947,1796,NULL,NULL,NULL
36270_1993.txt,36270,1993,First Empire State Corporation,New York,1969,3655,Buffalo,New York,NULL
40874_1993.txt,40874,1993,GTE Southwest Incorporated,Delaware,1926,7184,Irvine,Texas,NULL
812701_1993.txt,812701,1993,Calgon Carbon,NULL,NULL,1320,NULL,NULL,1470
81061_1993.txt,81061,1993,"Publix Super Markets, Inc",Florida,1921,82000,Lakeland,Florida,57500
92195_1993.txt,92195,1993,Southern Indiana Gas and Electric Company,Indiana,1912,774,Evansville,NULL,9445
828530_1993.txt,828530,1993,ADMIRAL FINANCIAL CORP,NULL,NULL,NULL,Miami,Florida,492
67646_1993.txt,67646,1993,"Allegheny Power System, Inc",Maryland,1925,6025,NULL,NULL,63396
49423_1993.txt,49423,1993,Aquarion Company,Delaware,1969,NULL,Bridgeport,Connecticut,NULL
814153_1993.txt,814153,1993,"Pro Quest, Inc",Colorado,1987,0,NULL,NULL,215
77242_1993.txt,77242,1993,Pennsylvania Gas and Water Company,NULL,NULL,NULL,NULL,NULL,NULL
20947_1993.txt,20947,1993,Centerior Energy,Ohio,1985,6748,NULL,NULL,159506
821026_1993.txt,821026,1993,The Andersons Management Corp.,NULL,1987,NULL,NULL,NULL,NULL
716006_1993.txt,716006,1993,Yellow Corporation,NULL,NULL,35000,Overland Park,Kansas,NULL
95395_1993.txt,95395,1993,NULL,NULL,NULL,NULL,NULL,NULL,NULL
793421_1993.txt,793421,1993,NULL,NULL,NULL,NULL,NULL,NULL,18606
2024_1993.txt,2024,1993,Ace Hardware Corporation,Delaware,1964,3405,Oak Brook,Illinois,NULL
33798_1993.txt,33798,1993,Grossman's Inc,Michigan,1919,NULL,NULL,NULL,NULL
90185_1993.txt,90185,1993,Sigma-Aldrich Corporation,Delaware,1975,5110,St. Louis,Missouri,2356
36377_1993.txt,36377,1993,"FIRST HAWAIIAN, INC",Delaware,NULL,3116,NULL,NULL,NULL
721083_1993.txt,721083,1993,"Smith International, Inc",NULL,NULL,1750,NULL,NULL,5380
81100_1993.txt,81100,1993,Puget Sound Power & Light Company,Washington,NULL,2609,NULL,NLL,64622
100783_1993.txt,100783,1993,Union Camp Corporation,Virginia,1956,19000,Wayne,New Jersey,NULL
766829_1993.txt,766829,1993,SJW Corp,California,1931,274,San Jose,California,1663
88204_1993.txt,88204,1993,Sealed Air Corporation,NULL,NULL,2750,NULL,NULL,NULL
16906_1993.txt,16906,1993,Canal Electric Company,Massachusetts,1902,124,Sandwich,Massachusetts,1
766701_1993.txt,766701,1993,Capstead Mortgage Corporation,Maryland,1985,83,NULL,NULL,NULL
30547_1993.txt,30547,1993,NULL,NULL,NULL,2036,NULL,NULL,1451
73124_1993.txt,73124,1993,Northern Trust Corporation,Delaware,1971,6259,Chicago,Illinois,NULL
46080_1993.txt,46080,1993,"Hasbro, Inc",Rhode Island,1926,12500,Pawtucket,Rhode Island,NULL
740868_1993.txt,740868,1993,Indiana Corporation,Indiana,NULL,3500,Elkhart,Indiana,502
708823_1993.txt,708823,1993,"Centocor, Inc",Pennsylvania,1979,500,Malvern,Pennsylvania,5657
277577_1993.txt,277577,1993,NULL,NULL,NULL,0,Dallas,Texas,7443
49071_1993.txt,49071,1993,Humana Inc,Delaware,1961,8800,Louisville,Kentucky,NULL
77943_1993.txt,77943,1993,NULL,NULL,NULL,2012,NULL,NULL,2093
67686_1993.txt,67686,1993,Monsanto Company,Delaware,1933,30000,St. Louis,Missouri,NULL
30573_1993.txt,30573,1993,Duquesne Light Company,Pennsylvania,1912,4042,NULL,NULL,NULL
52466_1993.txt,52466,1993,"Ionics, Incorporated",Massachusetts,1948,1300,Watertown,Massachusetts,NULL
799319_1993.txt,799319,1993,"IDB Communications Group, Inc",Delaware,1983,780,Culver City,California,732
60026_1993.txt,60026,1993,Lockheed Corporation,California,1932,83500,Calabasas,California,11400
72909_1993.txt,72909,1993,Northern States Power Company,Wisconsin,1901,893,Eau Claire,Wisconsin,NULL
806086_1993.txt,806086,1993,"Advanced Technology Laboratories, Inc",NULL,1986,1977,Bothell,Washington,9900
801124_1993.txt,801124,1993,"Vanguard Real Estate Fund I, A Sales-Commission-Free Income Properties Fund",Massachusetts,1986,0,NULL,NULL,15554
105839_1993.txt,105839,1993,"Allegheny Power System, Inc",Maryland,1925,6025,NULL,NULL,63396
25445_1993.txt,25445,1993,Crane Co,NULL,NULL,8700,NULL,NULL,NULL
13239_1993.txt,13239,1993,"Borden, Inc.",NULL,1899,NULL,NULL,NULL,40818
311094_1993.txt,311094,1993,Westamerica Bancorporation,California,NULL,NULL,NULL,NULL,5096
47129_1993.txt,47129,1993,The Hertz Corporation,Delaware,1967,17950,Park Ridge,New Jersey,NULL
205402_1993.txt,205402,1993,"Graybar Electric Company, Inc",New York,1925,5100,St. Louis,Missouri,NULL
36326_1993.txt,36326,1993,First Financial Management Corporation,Georgia,1971,11500,Atlanta,Georgia,1755
859257_1993.txt,859257,1993,The Sears Credit Account Trust 1990 A,NULL,1990,NULL,NULL,NULL,NULL
79879_1993.txt,79879,1993,PPG Industries Inc,Pennsylvania,1883,31400,NULL,NULL,NULL
42293_1993.txt,42293,1993,Golden West Financial Corporation,California,1959,3635,Oakland,California,"1,911"
3153_1993.txt,3153,1993,Southern,Delaware,1945,NULL,NULL,NULL,237105
9548_1993.txt,9548,1993,NULL,NULL,NULL,NULL,NULL,NULL,7511
311871_1993.txt,311871,1993,Pope & Talbot Inc,California,1940,3100,NULL,NULL,1398
354396_1993.txt,354396,1993,USF&G Corporation,NULL,NULL,NULL,Baltimore,Maryland,NULL
96943_1993.txt,96943,1993,Teleflex Incorporated,NULL,1943,8000,NULL,NULL,1600
728586_1993.txt,728586,1993,Lehman Brothers Inc,Delaware,1965,7500,New York,New York,NULL
93542_1993.txt,93542,1993,NULL,NULL,NULL,1760,Elk Grove Village,Illinois,NULL
96638_1993.txt,96638,1993,Advanta Corp,Delaware,1974,1614,Claymont,Delaware,1850
99193_1993.txt,99193,1993,Transamerica Finance Corporation,Delaware,1931,NULL,Los Angeles,California,NULL
52477_1993.txt,52477,1993,"IBP, inc.",Delaware,NULL,NULL,NULL,NULL,11000
277821_1993.txt,277821,1993,National Education Corporation,California,1954,4200,Irvine,California,NULL
72903_1993.txt,72903,1993,Northern States Power Company,Minnesota,1909,7880,Minneapolis,Minnesota,86
86772_1993.txt,86772,1993,NULL,NULL,NULL,NULL,NULL,NULL,59100
30554_1993.txt,30554,1993,DuPont,Delaware,1915,114000,Wilmington,Delaware,181264
276999_1993.txt,276999,1993,Benjamin Moore & Co. Ltd,NULL,NULL,1962,Montvale,New Jersey,1450
73902_1993.txt,73902,1993,Ogden Corporation,NULL,NULL,41800,New York,New York,12700
774203_1993.txt,774203,1993,Wachovia Corporation,North Carolina,NULL,15531,"Winston-Salem, Atlanta",North Carolina and Georgia,28079
7323_1993.txt,7323,1993,Entergy Corporation,Florida,1949,16679,NULL,NULL,63779
55785_1993.txt,55785,1993,Kimberly-Clark Corporation,Delaware,1928,42131,"Dallas, Roswell, Neenah","Texas, Georgia, Wisconsin",25121
24454_1993.txt,24454,1993,"Cooper Industries, Inc.",NULL,NULL,NULL,NULL,NULL,36124
313616_1993.txt,313616,1993,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79732_1993.txt,79732,1993,Potomac Electric Power Company,District of Columbia,1896,NULL,NULL,NULL,98892
732714_1993.txt,732714,1993,NYNEX Corporation,Delaware,1983,76200,White Plains,New York,NULL
352947_1993.txt,352947,1993,Engelhard Corporation,NULL,NULL,5750,Iselin,New Jersey,NULL
740582_1993.txt,740582,1993,"Balcor Realty Investors 84-Series II, A Real Estate Limited Partnership",Maryland,NULL,74,NULL,NULL,8495
74928_1993.txt,74928,1993,NULL,NULL,NULL,NULL,NULL,Maryland,NULL
72971_1993.txt,72971,1993,Norwest Corporation,Delaware,1929,35000,NULL,NULL,25999
103392_1993.txt,103392,1993,"Continental Can Company, Inc",Delaware,1970,3712,Syosset,New York,422
50548_1993.txt,50548,1993,Inland Steel Company,Delaware,NULL,NULL,Chicago,Illinois,NULL
101382_1993.txt,101382,1993,"United Missouri Bancshares, Inc",Missouri,1967,3718,Kansas City,Missouri,2787
840216_1993.txt,840216,1993,"Koll Real Estate Group, Inc",Delaware,NULL,92,Newport Beach,California,28000
107832_1993.txt,107832,1993,Wisconsin Power and Light Company,Wisconsin,1917,2673,NULL,NULL,NULL
714655_1993.txt,714655,1993,"Biogen, Inc",NULL,NULL,380,Cambridge,Massachusetts,NULL
36995_1993.txt,36995,1993,First Union Corporation,North Carolina,1967,NULL,Charlotte,North Carolina,58670
740694_1993.txt,740694,1993,Kaydon Corporation,NULL,1983,1671,Clearwater,Florida,NULL
35527_1993.txt,35527,1993,FIFTH THIRD BANCORP,Ohio,1974,0,Cincinnati,Ohio,NULL
814677_1993.txt,814677,1993,"PLM International, Inc",Delaware,NULL,215,San Francisco,California,13000
100923_1993.txt,100923,1993,UNION TANK CAR COMPANY,Delaware,1980,3570,NULL,NULL,NULL
66740_1993.txt,66740,1993,Minnesota Mining and Manufacturing Company,Delaware,1929,86168,St. Paul,Minnesota,117343
25885_1993.txt,25885,1993,Crown Central Petroleum Corporation,NULL,NULL,3031,NULL,NULL,NULL
92236_1993.txt,92236,1993,Sonat Inc,Delaware,1973,2230,Birmingham,Alabama,NULL
200245_1993.txt,200245,1993,Salomon Inc,Delaware,1960,8640,NULL,NULL,NULL
310433_1993.txt,310433,1993,C-TEC Corporation,Pennsylvania,1979,1282,Wilkes-Barre,Pennsylvania,NULL
860004_1993.txt,860004,1993,The Sears Credit Account Trust 1990 B,NULL,1990,NULL,NULL,NULL,NULL
754737_1993.txt,754737,1993,SCANA,South Carolina,1984,4788,Columbia,South Carolina,NULL
74783_1993.txt,74783,1993,Acceptance Insurance Companies Inc,Ohio,1968,NULL,NULL,NULL,1900
1800_1993.txt,1800,1993,Abbott Laboratories,Illinois,1900,49659,Abbott Park,Illinois,82947
105418_1993.txt,105418,1993,"Weis Markets, Inc",Pennsylvania,1924,15000,Sunbury,Pennsylvania,NULL
711513_1993.txt,711513,1993,McDonnell Douglas Finance Corporation,Delaware,1968,110,Long Beach,Minnesota,NULL
48305_1993.txt,48305,1993,Honeywell Inc,Delaware,1927,52300,Minneapolis,Minnesota,33159
711604_1993.txt,711604,1993,Carlyle Real Estate Limited Partnership-XIII,NULL,NULL,NULL,NULL,NULL,NULL
9659_1993.txt,9659,1993,Signet Bank Corp,Virginia,1962,5753,Richmond,Virginia,NULL
9534_1993.txt,9534,1993,"Bandag, Incorporated",NULL,NULL,2334,Muscatine,Iowa,2029
59198_1993.txt,59198,1993,TRINOVA Corporation,NULL,NULL,15012,Maumee,Ohio,NULL
351145_1993.txt,351145,1993,Intergraph Corporation,Delaware,NULL,9500,Huntsville,Alabama,NULL
51296_1993.txt,51296,1993,Navistar International Transportation Corp,NULL,NULL,13611,Chicago,NULL,NULL
15840_1993.txt,15840,1993,"Butler Building Systems, Inc",Missouri,1902,3064,Kansas City,Missouri,NULL
71180_1993.txt,71180,1993,Nevada Power Company,Nevada,1929,1741,NULL,NULL,NULL
34501_1993.txt,34501,1993,Farah Incorporated,Texas,1947,5300,NULL,NULL,NULL
7431_1993.txt,7431,1993,"Armstrong World Industries, Inc",Pennsylvania,1891,21000,NULL,NULL,7876
310158_1993.txt,310158,1993,Schering-Plough,NULL,1970,21600,Madison,New Jersey,NULL
7649_1993.txt,7649,1993,"Asarco, a New Jersey corporation",New Jersey,1899,8500,NULL,NULL,10072
25600_1993.txt,25600,1993,"American General Finance, Inc",Indiana,1974,7300,Evansville,Indiana,NULL
34285_1993.txt,34285,1993,Reliability Incorporated,Texas,1953,409,Houston,NULL,920
4310_1993.txt,4310,1993,ALZA Corporation,California,1968,1078,Palo Alto,California,NULL
351979_1993.txt,351979,1993,Burlington Northern Inc.,Delaware,1981,NULL,NULL,NULL,28131
31986_1993.txt,31986,1993,El Paso Natural Gas Company,NULL,NULL,NULL,NULL,NULL,25673
722079_1993.txt,722079,1993,Terra Industries,NULL,NULL,NULL,NULL,NULL,NULL
49588_1993.txt,49588,1993,I.C.H. Corporation,Missouri,1966,1320,NULL,NULL,52000
732712_1993.txt,732712,1993,Bell Atlantic Corporation,Delaware,1983,73600,Philadelphia,Pennsylvania,1026371
722573_1993.txt,722573,1993,"Maxicare Health Plans, Inc",Delaware,1980,465,Los Angeles,California,17892
64803_1993.txt,64803,1993,Melville Corporation,New York,NULL,111000,Rye,New York,7600
817473_1993.txt,817473,1993,"American Capital Strategies, Ltd",Delaware,1986,22,NULL,NULL,49
52485_1993.txt,52485,1993,NULL,NULL,NULL,NULL,NULL,NULL,NULL
310569_1993.txt,310569,1993,"Anheuser-Busch Companies, Inc",Delaware,1979,NULL,NULL,NULL,NULL
859119_1993.txt,859119,1993,Illinois Central Corporation,Delaware,1989,3306,Chicago,Illinois,11000
78066_1993.txt,78066,1993,Phelps Dodge Corporation,NULL,NULL,NULL,NULL,NULL,9606
277509_1993.txt,277509,1993,Federal Signal Corporation,Delaware,1969,4226,NULL,NULL,4818
64908_1993.txt,64908,1993,NULL,NULL,NULL,NULL,NULL,NULL,NULL
893958_1993.txt,893958,1993,NULL,NULL,NULL,NULL,NULL,NULL,NULL
868482_1993.txt,868482,1993,The Sears Credit Account Trust 1990 D,NULL,NULL,NULL,NULL,NULL,NULL
765813_1993.txt,765813,1993,"JMB Income Properties, Ltd. - XII",Illinois,1984,NULL,NULL,NULL,"16,270"
351825_1993.txt,351825,1993,First National Bancorp,Georgia,1980,NULL,NULL,NULL,NULL
64782_1993.txt,64782,1993,Mellon Bank Corporation,Pennsylvania,1971,21400,Pittsburgh,Pennsylvania,NULL
75527_1993.txt,75527,1993,NULL,California,1907,NULL,Los Angeles,California,45414
821480_1993.txt,821480,1993,NULL,NULL,NULL,NULL,NULL,NULL,NULL
793548_1993.txt,793548,1993,Midlantic Corporation,NULL,NULL,5863,Edison,New Jersey,30722
63073_1993.txt,63073,1993,New England Electric System,NULL,NULL,5000,NULL,NULL,NULL
36672_1993.txt,36672,1993,Bank of Boston Corporation,Massachusetts,1970,18600,Boston,Massachusetts,NULL
879209_1993.txt,879209,1993,The Sears Credit Account Trust 1991 D,NULL,1991,NULL,NULL,NULL,NULL
705752_1993.txt,705752,1993,Century Properties Fund XIX,California,1982,NULL,NULL,NULL,9395
